case_id,arm,model,K,naca,re,aoa_deg,status,cd_fluent,cd_fluent_corrected,cl_fluent,cl_fluent_corrected,cd_int_mean,cd_int_std,cd_head_mean,cd_head_std,cl_int_mean,cl_int_std,cl_head_mean,cl_head_std,err_cd_int,err_cd_head,err_cl_int,err_cl_head,fsc,q90_halfwidth_cd_int,q90_halfwidth_cd_head,covered90_cd_int,covered90_cd_head,pred_source
al_acq_naca33012_re7e6_a18,acquisition,sdf_fno,5,33012,7000000.0,18.0,diverged,-1.286300632386008e+99,-1.286300632386008e+99,-5.426346458419336e+99,-5.426346458419336e+99,0.0032937206327915193,0.08244765174013129,0.051027257740497586,0.006114851121011401,1.548741102218628,0.11959951537685788,2.250067377090454,0.1748418898319862,nan,nan,nan,nan,0.047733537107706066,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_acq_naca4410_re7e6_a18,acquisition,sdf_fno,5,4410,7000000.0,18.0,diverged,-5.90382628445189e+99,-5.90382628445189e+99,-1.877783904687683e+101,-1.877783904687683e+101,0.03565799966454506,0.08326017013761099,0.06739509403705597,0.010438636929504263,1.6881737947463988,0.16598858637480624,2.561712408065796,0.16133006490391974,nan,nan,nan,nan,0.03173709437251091,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_acq_naca4415_re7e6_a18,acquisition,sdf_fno,5,4415,7000000.0,18.0,diverged,1.476640512375506e+98,1.476640512375506e+98,1.92393706722437e+100,1.92393706722437e+100,0.05325442627072334,0.07460469617932862,0.05332599431276321,0.004628396631184026,1.6744301319122314,0.09681872761356186,2.259123182296753,0.15945979593058318,nan,nan,nan,nan,7.15680420398726e-05,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_rand_naca0010_re7e6_a6,random,sdf_fno,5,0010,7000000.0,6.0,converged,0.009794227190491759,0.008893605034899086,0.6703239045171162,0.6580911168984864,0.018999708001501858,0.01685295860526838,0.009864014945924282,0.00027416729344619456,0.6047928929328918,0.02000568464149813,0.6578486084938049,0.08888180613948156,0.010106102966602772,0.0009704099110251965,-0.05329822396559458,-0.00024250840468154067,0.009135693055577576,0.0040276082232594485,0.00034998971968889207,False,False,score_pool
al_rand_naca22012_re3e6_a12,random,sdf_fno,5,22012,3000000.0,12.0,quasi_steady,0.01943327861487682,0.018532656459284147,1.357544227399134,1.3453114397805044,0.050531844794750216,0.019289072237616167,0.021003497764468193,0.0013129281335626645,1.1450074911117554,0.043422783677345395,1.245224618911743,0.06469210851604638,0.03199918833546607,0.002470841305184046,-0.200303948668749,-0.1000868208687613,0.029528347030282023,0.0040276082232594485,0.00034998971968889207,False,False,score_pool
al_rand_naca2410_re2e6_a18,random,sdf_fno,5,2410,2000000.0,18.0,diverged,2.670691706153084e+16,2.670691706153084e+16,8.056372726697165e+16,8.056372726697165e+16,0.059498857334256174,0.04935210144871217,0.036757726967334745,0.004412129020326646,1.6546658515930175,0.0723180879358167,1.5331872701644897,0.09598651384219699,nan,nan,nan,nan,0.02274113036692143,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_rand_naca2415_re6e6_a0,random,sdf_fno,5,2415,6000000.0,0.0,converged,0.00946058505929252,0.008559962903699845,0.2245047724320183,0.21227198481338852,0.02244112603366375,0.0023955198340777878,0.010533485934138298,0.0002900596562741215,0.19602342545986176,0.00677909648298953,0.29658837914466857,0.04170370085343717,0.013881163129963906,0.0019735230304384534,-0.01624855935352676,0.08431639433128005,0.011907640099525453,0.0040276082232594485,0.00034998971968889207,False,False,score_pool
al_rand_naca32015_re7e6_a18,random,sdf_fno,5,32015,7000000.0,18.0,diverged,-1.220308021262662e+86,-1.220308021262662e+86,-3.968213237314786e+87,-3.968213237314786e+87,-0.012841903418302537,0.09037783391935705,0.04378691539168358,0.0061274083189717925,1.4436134099960327,0.10481102999146388,2.1124921798706056,0.1909166626548385,nan,nan,nan,nan,0.05662881880998612,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_rand_naca33012_re6e6_am6,random,sdf_fno,5,33012,6000000.0,-6.0,converged,0.01020161177850081,0.009300989622908137,-0.4718244455496277,-0.4840572331682575,0.03196697346866131,0.011078813207255728,0.012230717390775681,0.003730118774558427,-0.29638444185256957,0.012733113932725108,-0.2980461478233337,0.07762355719621654,0.02266598384575317,0.002929727767867544,0.18767279131568793,0.18601108534492378,0.019736256077885626,0.0040276082232594485,0.00034998971968889207,False,False,score_pool
al_rand_naca4412_re7e6_a18,random,sdf_fno,5,4412,7000000.0,18.0,quasi_steady,0.1143191526821818,0.11341853052658914,1.716867844427101,1.7046350568084714,0.03189747855067253,0.09063164154647978,0.059329867362976074,0.00888603823840509,1.6926310062408447,0.11516332448706049,2.4248618602752687,0.12548210678755206,-0.08152105197591661,-0.05408866316361306,-0.012004050567626656,0.7202268034667973,0.027432388812303546,0.0040276082232594485,0.00034998971968889207,False,False,score_pool
