case_id,arm,naca,re,aoa_deg,mesh_level,model,variant,n_iter,status,cd,cl,cd_window_mean,cd_window_std,cd_p2p,cl_window_mean,cl_p2p,cd_rel_change_150,yplus_max,yplus_avg,min_orthogonality,mach,u_inf,wall_min,airfrans_sim,has_cas,has_dat,has_encas,integrity_ok,cells_trn,cells_mesh
al_var_naca0015_re6e6_a18,variance,0015,6000000.0,18.0,2,sst,s0,0,not_run,,nan,,,,nan,nan,,nan,nan,0.15863330773960627,0.2709537572254335,93.75,2.2284389388448935e-06,,False,False,False,False,,
al_var_naca22015_re7e6_a18,variance,22015,7000000.0,18.0,2,sa,s0,431,diverged,1.11367761742687e+99,-3.251127505987094e+100,nan,nan,nan,-7.53570230899942e+97,3.2543366565025175e+100,nan,nan,nan,0.14830859298100108,0.3161127167630058,109.375,1.9312382855910597e-06,,False,False,False,True,43008,43008
al_var_naca22015_re7e6_a18,variance,22015,7000000.0,18.0,2,sa,r1,7000,diverged,0.07756373462608564,1.928811803862427,0.0885192724373478,0.006712428177215422,0.023280796923325464,1.9001478395556144,0.07962933331349697,0.03880814429983179,1.0084199,0.21518696,0.14830859298100108,0.3161127167630058,109.375,1.9312382855910597e-06,,True,True,True,True,43008,43008
al_var_naca22015_re7e6_a18,variance,22015,7000000.0,18.0,2,sst,s0,0,not_run,,nan,,,,nan,nan,,nan,nan,0.14830859298100108,0.3161127167630058,109.375,1.9312382855910597e-06,,False,False,False,False,,
al_var_naca24015_re5e6_a18,variance,24015,5000000.0,18.0,2,sa,s0,398,diverged,-1.4430032336942e+98,1.239433789193163e+100,nan,nan,nan,3.1184895595434607e+97,1.239433795874705e+100,nan,nan,nan,0.15507534521027067,0.22579479768786126,78.125,2.6395274406079506e-06,,False,False,False,True,43008,43008
al_var_naca24015_re5e6_a18,variance,24015,5000000.0,18.0,2,sa,r1,7000,diverged,0.0792112775538662,1.974682345857825,0.08896869956513723,0.005931483819930371,0.020531604477206908,1.951612567817652,0.06408181299486304,0.03411379916773177,0.99232668,0.21986346,0.15507534521027067,0.22579479768786126,78.125,2.6395274406079506e-06,,True,True,True,True,43008,43008
al_var_naca24015_re5e6_a18,variance,24015,5000000.0,18.0,2,sst,s0,0,not_run,,nan,,,,nan,nan,,nan,nan,0.15507534521027067,0.22579479768786126,78.125,2.6395274406079506e-06,,False,False,False,False,,
al_var_naca2415_re7e6_a18,variance,2415,7000000.0,18.0,2,sa,s0,388,diverged,1.177500478392463e+96,-1.048882324605794e+98,nan,nan,nan,-2.6633913407393964e+95,1.0635398673746321e+98,nan,nan,nan,0.17719571240794119,0.3161127167630058,109.375,1.9312382855910597e-06,,False,False,False,True,43008,43008
al_var_naca2415_re7e6_a18,variance,2415,7000000.0,18.0,2,sa,r1,7000,diverged,0.05607491778369699,2.073040960404515,0.06646431921969682,0.00634200561986215,0.021919429799054667,2.041760765469829,0.07883397781215074,0.050812893660751104,1.045489,0.22284432,0.17719571240794119,0.3161127167630058,109.375,1.9312382855910597e-06,,True,True,True,True,43008,43008
al_var_naca2415_re7e6_a18,variance,2415,7000000.0,18.0,2,sst,s0,0,not_run,,nan,,,,nan,nan,,nan,nan,0.17719571240794119,0.3161127167630058,109.375,1.9312382855910597e-06,,False,False,False,False,,
al_var_naca32012_re6e6_a18,variance,32012,6000000.0,18.0,2,sa,s0,389,diverged,-3.758508525579074e+100,-1.983678590765124e+101,nan,nan,nan,-4.0669246832296365e+98,2.3899795309830272e+101,nan,nan,nan,0.13745577577588675,0.2709537572254335,93.75,2.2284389388448935e-06,,False,False,False,True,43008,43008
al_var_naca32012_re6e6_a18,variance,32012,6000000.0,18.0,2,sa,r1,7000,converged,0.1662419920093399,1.993301247476732,0.1666160957849215,0.00019685186478063325,0.0007632236047820096,2.038061645541358,0.07368208769396722,0.0008656673815753934,1.1082693,0.20347677,0.13745577577588675,0.2709537572254335,93.75,2.2284389388448935e-06,,True,True,True,True,43008,43008
al_var_naca32012_re6e6_a18,variance,32012,6000000.0,18.0,2,sst,s0,0,not_run,,nan,,,,nan,nan,,nan,nan,0.13745577577588675,0.2709537572254335,93.75,2.2284389388448935e-06,,False,False,False,False,,
al_var_naca4415_re6e6_a18,variance,4415,6000000.0,18.0,2,sa,s0,402,diverged,2.735064878775752e+96,9.253019656770345e+97,nan,nan,nan,2.2738697167385925e+95,9.375014799756743e+97,nan,nan,nan,0.1928490022283138,0.2709537572254335,93.75,2.2284389388448935e-06,,False,False,False,True,43008,43008
al_var_naca4415_re6e6_a18,variance,4415,6000000.0,18.0,2,sa,r1,7000,diverged,0.06295660965717895,2.300120284878922,0.07426597858937618,0.006930834807300105,0.023854560600014604,2.2693773881966717,0.0790509111938218,0.04877641947720632,1.0319517,0.22801114,0.1928490022283138,0.2709537572254335,93.75,2.2284389388448935e-06,,True,True,True,True,43008,43008
al_var_naca4415_re6e6_a18,variance,4415,6000000.0,18.0,2,sst,s0,0,not_run,,nan,,,,nan,nan,,nan,nan,0.1928490022283138,0.2709537572254335,93.75,2.2284389388448935e-06,,False,False,False,False,,
gridstudy_naca0012_re3e6_a5_L1,gridstudy,0012,3000000.0,5.0,1,sa,s0,4300,converged,0.01112220763491391,0.5538152462527673,0.01112709266231524,2.973772656924233e-06,1.0968276772290939e-05,0.5538762035632087,0.0001262917177824452,0.0002047866622584346,0.8733629,0.40653145,0.26538809198764013,0.13547687861271676,46.875,6.362383610636442e-06,,True,True,True,True,18796,18796
gridstudy_naca0012_re3e6_a5_L1,gridstudy,0012,3000000.0,5.0,1,sst,s0,4300,converged,0.01085034488642536,0.5465331734791864,0.010857101817730802,4.097180712023191e-06,1.388792754864962e-05,0.546603393555051,0.0001447185602575507,0.0001750440775432707,0.84256244,0.39853499,0.26538809198764013,0.13547687861271676,46.875,6.362383610636442e-06,,True,True,True,True,18796,18796
gridstudy_naca0012_re3e6_a5_L2,gridstudy,0012,3000000.0,5.0,2,sa,s0,4300,converged,0.01075519408233563,0.5529727501678109,0.010763490659371329,4.550369034774352e-06,1.8877990376760245e-05,0.5531782598796482,0.0004402346897531828,0.0002812933379954812,0.58638024,0.27226568,0.270819097423293,0.13547687861271676,46.875,4.241589073757628e-06,,True,True,True,True,43008,43008
