cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
        80  4.427389428E-02  4.226150736E-02  6.477260151E-02  1.836846569E-04  1.300860481E+00  6.208857341E-01 -1.143126806E+00  1.001040531E+00  7.089400326E+03 
        81  4.869982973E-02  3.992684186E-02  3.175859924E-02  4.415701202E-05  3.127213390E-01 -1.426892177E-01  2.782704135E-01  1.005916259E+00  7.123930384E+03 
        82  5.339396745E-02  3.758407384E-02  7.089194913E-02  2.200183928E-04  1.558177133E+00 -6.812709694E-01  1.401351435E+00  1.002938549E+00  7.102842143E+03 
        83  5.835251883E-02  3.523323685E-02  9.013718886E-02  3.556835078E-04  2.518961717E+00 -1.057711964E+00  2.286135064E+00  9.943311818E-01  7.041884502E+03 
        84  6.357157230E-02  3.287432343E-02  1.027417884E-01  4.621091447E-04  3.272671404E+00 -1.322578121E+00  2.993520542E+00  9.817917576E-01  6.953079909E+03 
        85  6.904708594E-02  3.050727956E-02  1.119473669E-01  5.486189667E-04  3.885336667E+00 -1.514292116E+00  3.578094521E+00  9.665520006E-01  6.845151473E+03 
        86  7.477489114E-02  2.813197859E-02  1.192616047E-01  6.226436004E-04  4.409581436E+00 -1.660698398E+00  4.084909946E+00  9.495332336E-01  6.724624033E+03 
        87  8.075071871E-02  2.574824169E-02  1.255802516E-01  6.903598620E-04  4.889150117E+00 -1.782599888E+00  4.552595579E+00  9.314158815E-01  6.596316379E+03 
        88  8.697016537E-02  2.335582674E-02  1.314834753E-01  7.567799467E-04  5.359539232E+00 -1.895210116E+00  5.013266340E+00  9.127042871E-01  6.463800284E+03 
        89  9.342874587E-02  2.095442265E-02  1.373139631E-01  8.253807073E-04  5.845371962E+00 -2.008188783E+00  5.489585703E+00  8.937702239E-01  6.329708656E+03 
        90  1.001218408E-01  1.854365319E-02  1.431574358E-01  8.971163008E-04  6.353405677E+00 -2.124165289E+00  5.987794713E+00  8.748843248E-01  6.195958128E+03 
        91  1.070447490E-01  1.612307131E-02  1.489242525E-01  9.708552296E-04  6.875627075E+00 -2.240716162E+00  6.500264515E+00  8.562386124E-01  6.063908611E+03 
        92  1.141926870E-01  1.369215921E-02  1.544849317E-01  1.044702641E-03  7.398616753E+00 -2.353967782E+00  7.014154656E+00  8.379685063E-01  5.934519148E+03 
        93  1.215607449E-01  1.125032734E-02  1.597211181E-01  1.116712320E-03  7.908591546E+00 -2.460303531E+00  7.516164366E+00  8.201696187E-01  5.808466870E+03 
        94  1.291439533E-01  8.796914481E-03  1.645850266E-01  1.185762775E-03  8.397609027E+00 -2.558186980E+00  7.998469650E+00  8.029065525E-01  5.686209296E+03 
        95  1.369372457E-01  6.331188604E-03  1.690570688E-01  1.251053721E-03  8.860001549E+00 -2.646855395E+00  8.455399693E+00  7.862222233E-01  5.568050355E+03 
